Day,Location,Food,City,Extra
2014-11-26,Taste of Philly,Cheesesteak,Parker,
2014-11-27,THANKSGIVING,THANKSGIVING,Thornton,
2014-11-28,Chick-fil-a,Sandwich,Parker,Chicken
2014-12-01,Big City,Burrito,Denver,Potato
2014-12-02,Subway,Sandwich,Dodgeville,BMT
2014-12-03,Hardees,Burger,Dodgeville,
2014-12-04,Subway,Sandwich,Dodgeville,BMT
2014-12-05,Dominos,Pizza,Denver,
2014-12-08,Big City,Burrito,Denver,Breakfast
2014-12-09,Illegal Pete's,Burrito,Denver,Green Chile
2014-12-10,Big City,Burrito,Denver,Potato
2014-12-11,Big City,Burrito,Denver,Breakfast
2014-12-12,Ricos Burrito,Burrito,Denver,Beef
2014-12-15,Big City,Burrito,Denver,Breakfast
2014-12-16,Pizza Hut,Pizza,Dodgeville,
2014-12-17,Bob's Bitchin' BBQ,BBQ,Dodgeville,
2014-12-18,Lands End,Sandwich,Dodgeville,
2014-12-19,,,Parker,
2014-12-22,Del Taco,Burrito,Parker,
2014-12-23,Qdoba,Burrito,Parker,Steak
2014-12-24,Pizza Hut,Pizza,Parker,
2014-12-25,CHRISTMAS,CHRISTMAS,Elizabeth,
2014-12-26,,,,
2014-12-29,Casa Keeney,Burrito,Parker,
2014-12-30,Chipotle,Burrito,Parker,Carnitas
